       1419.81266879   0.0 -1 -1
      -712763.71       1101.0673      -5.5089290       4.0276088
      -712719.23       1063.5512       1.3692892       17.386164
      -712510.69       1040.1053       2.0385917       28.588437
      -714135.44       1109.9278       1.5664358       40.148046
      -717589.93       1274.4840      -0.39818531      45.248794
      -717093.91       1234.5034       0.24576567      51.997859
      -715137.94       1150.5718       1.1369076       59.824942
      -711626.40       1039.2124       2.0189021       67.938042
      -713713.90       1103.0292       1.5317335       75.764900
      -713468.68       1100.0405       1.5294476       87.830405
      -718283.97       1208.2145       0.92167536      99.677931
      -714463.61       1129.8061       1.3244824       113.75157
      -714246.30       1127.9929       1.3237379       127.96841
      -719575.07       1210.4945       1.0040421       139.09643
      -716725.93       1166.3375       1.1739753       143.76359
      -720860.34       1228.2945       0.94279742      152.88261
      -717513.23       1184.8780       1.0833994       162.79070
      -720446.95       1222.2807       0.96435106      171.47862
      -708562.33       1086.1156       1.3540914       177.79579
      -714527.84       1154.3824       1.1587661       186.33882
      -733784.41       1356.2695       0.62989429      192.87222
      -728415.44       1297.4803       0.79030096      199.76524
      -742326.39       1435.4063       0.44848844      206.87300
      -730651.27       1317.8783       0.74381512      218.64659
-1 -1 -1 -1
